time,wind_speed,wind_direction,nacellePosition,nacelle position logs
0,6.9,52.3,0,48.3
1,6.7,33.3,0,48.3
2,6.2,28.3,0,48.3
3,5.9,81.3,0,48.3
4,5.5,52.3,0,48.3
5,5.6,71.3,0,48.3
6,5.9,57.3,0,48.3
7,6.2,64.3,0,48.3
8,6.5,40.3,0,48.3
9,6.2,51.3,0,48.3
10,5.3,21.3,0,48.3
11,4.9,49.3,0,48.3
12,5.3,59.3,0,48.3
13,5.5,51.3,0,48.3
14,5.9,52.3,0,48.3
15,6.2,40.3,0,48.3
16,6.3,91.3,0,48.3
17,5.7,59.3,0,48.3
18,6.8,45.3,0,48.3
19,6.8,-6.7,0,48.3
20,6.3,66.3,0,48.3
21,6.1,111.3,0,48.3
22,6.4,68.3,0,48.3
23,6.5,13.3,0,48.3
24,6.1,20.3,0,48.3
25,6.3,51.3,0,48.3
26,6.8,35.3,0,48.3
27,7.5,45.3,0,48.3
28,7.3,45.3,0,48.3
29,7.1,25.3,0,48.3
30,7,43.3,0,48.3
31,6.7,52.3,0,48.3
32,6.6,64.3,0,48.3
33,6.3,76.3,0,48.3
34,6.5,81.3,0,48.3
35,6.5,38.3,0,48.3
36,6.2,72.3,0.07425,48.3
37,5.9,37.3,0.3135,48.3
38,5.9,56.3,0.6435,48.3
39,6.4,49.3,0.9735,48.3
40,6.4,18.3,1.3035,48.3
41,7.5,55.3,1.6335,48.3
42,7.6,28.3,1.9635,48.3
43,7.3,36.3,2.2935,48.3
44,7.1,35.3,2.6235,48.3
45,6.3,13.3,2.9535,48.3
46,5.8,51.3,3.2835,48.3
47,5.7,49.3,3.6135,48.3
48,6.6,38.3,3.9435,48.3
49,6.9,64.3,4.2735,48.3
50,6.7,30.3,4.6035,48.3
51,6.8,45.3,4.9335,48.3
52,6.5,54.3,5.2635,48.3
53,6.8,64.3,5.5935,48.3
54,7,52.3,5.9235,48.3
55,6.8,18.3,6.2535,48.3
56,6.5,40.3,6.5835,48.3
57,6.4,13.3,6.9135,48.3
58,6.5,30.3,7.2435,48.3
59,7,47.3,7.5735,48.3
60,6.7,40.3,7.9035,48.3
61,6.3,33.3,8.2335,48.3
62,6,57.3,8.5635,48.3
63,6.7,35.3,8.8935,48.3
64,6.7,38.3,9.2235,48.3
65,7.2,18.3,9.5535,48.3
66,7,40.3,9.8835,48.3
67,6.3,31.3,10.213,48.3
68,5.3,47.3,10.543,48.3
69,5,56.3,10.873,48.3
70,5.2,59.3,11.203,48.3
71,5.9,54.3,11.533,48.3
72,6.3,10.3,11.863,48.3
73,6.5,28.3,12.193,48.3
74,6.4,35.3,12.523,48.3
75,6.4,31.3,12.853,48.3
76,6.5,25.3,13.183,48.3
77,6.6,61.3,13.513,48.3
78,6.1,28.3,13.843,48.3
79,5.9,35.3,14.173,48.3
80,6,64.3,14.503,48.3
81,6.1,71.3,14.833,48.3
82,6,5.3,15.163,48.3
83,6.4,25.3,15.493,48.3
84,6.3,35.3,15.823,48.3
85,6,32.3,16.153,48.3
86,5.7,13.3,16.483,48.3
87,6,106.3,16.813,48.3
88,6.1,28.3,17.143,48.3
89,5.7,54.3,17.473,48.3
90,5.9,40.3,17.803,48.3
91,5.9,45.3,18.133,48.3
92,6.2,1.3,18.463,48.3
93,6.4,81.3,18.793,48.3
94,6.7,37.3,19.123,48.3
95,6.2,30.3,19.453,48.3
96,5.9,67.3,19.783,48.3
97,6.3,54.3,20.113,48.3
98,7,45.3,20.443,48.3
99,6.8,38.3,20.773,48.3
100,7,66.3,21.103,48.3
